,seed_id,filepath,instrument,IMT,pitch,dynamics,instrument family
0,8,Horns/Horn/ordinario/Hn-ord-B4-ff.wav,Hn,Hn-ord,B4,ff,Brass
1,8,Horns/Horn/ordinario/Hn-ord-D#5-pp.wav,Hn,Hn-ord,D#5,pp,Brass
2,8,Horns/Horn/ordinario/Hn-ord-C3-mf.wav,Hn,Hn-ord,C3,mf,Brass
3,8,Horns/Horn/ordinario/Hn-ord-B3-ff.wav,Hn,Hn-ord,B3,ff,Brass
4,8,Horns/Horn/ordinario/Hn-ord-C2-pp.wav,Hn,Hn-ord,C2,pp,Brass
5,8,Horns/Horn/ordinario/Hn-ord-E2-pp.wav,Hn,Hn-ord,E2,pp,Brass
6,8,Horns/Horn/ordinario/Hn-ord-C5-mf.wav,Hn,Hn-ord,C5,mf,Brass
7,8,Horns/Horn/ordinario/Hn-ord-G3-ff.wav,Hn,Hn-ord,G3,ff,Brass
8,8,Horns/Horn/ordinario/Hn-ord-B2-pp.wav,Hn,Hn-ord,B2,pp,Brass
9,8,Horns/Horn/ordinario/Hn-ord-C#4-pp.wav,Hn,Hn-ord,C#4,pp,Brass
10,8,Horns/Horn/ordinario/Hn-ord-D3-mf.wav,Hn,Hn-ord,D3,mf,Brass
11,8,Horns/Horn/ordinario/Hn-ord-G2-mf.wav,Hn,Hn-ord,G2,mf,Brass
12,8,Horns/Horn/ordinario/Hn-ord-B3-mf.wav,Hn,Hn-ord,B3,mf,Brass
13,8,Horns/Horn/ordinario/Hn-ord-C#3-mf.wav,Hn,Hn-ord,C#3,mf,Brass
14,8,Horns/Horn/ordinario/Hn-ord-F3-mf.wav,Hn,Hn-ord,F3,mf,Brass
15,8,Horns/Horn/ordinario/Hn-ord-C4-pp.wav,Hn,Hn-ord,C4,pp,Brass
16,8,Horns/Horn/ordinario/Hn-ord-E4-pp.wav,Hn,Hn-ord,E4,pp,Brass
17,8,Horns/Horn/ordinario/Hn-ord-G#2-mf.wav,Hn,Hn-ord,G#2,mf,Brass
18,8,Horns/Horn/ordinario/Hn-ord-F#2-ff.wav,Hn,Hn-ord,F#2,ff,Brass
19,8,Horns/Horn/ordinario/Hn-ord-A#2-pp.wav,Hn,Hn-ord,A#2,pp,Brass
20,8,Horns/Horn/ordinario/Hn-ord-A3-pp.wav,Hn,Hn-ord,A3,pp,Brass
21,8,Horns/Horn/ordinario/Hn-ord-D2-ff.wav,Hn,Hn-ord,D2,ff,Brass
22,8,Horns/Horn/ordinario/Hn-ord-D2-pp.wav,Hn,Hn-ord,D2,pp,Brass
23,8,Horns/Horn/ordinario/Hn-ord-F#4-ff.wav,Hn,Hn-ord,F#4,ff,Brass
24,8,Horns/Horn/ordinario/Hn-ord-D#2-mf.wav,Hn,Hn-ord,D#2,mf,Brass
